No,,Plnt,Loca,Description,Material,Material Description,BUn,Jumlah SAP,,Ceklis,Keterangan,Harga SAP
213,,E451,SR01,Main Store,4400008132,"KOM,GD510R,LOCK 232-70-54470",PCS,3,,,,300
214,,E451,SR01,Main Store,4400013178,"MITS,PS120,YOKE FLANGE PROPSHFT MB293352",PCS,3,,,,"685,648"
215,,E451,SR01,Main Store,4400018874,"MITS,PS120,LEAF RR HLPR SPRING 482661830",PCS,3,,,,"577,5"
216,,E451,SR01,Main Store,4400027048,"MITS,PS120,PIN FR SPRING MB 025177",PCS,3,,,,"119,531"
217,,E451,SR01,Main Store,4400051818,"KUB,MX5100,GEAR BEVEL 3A022-43520",PCS,3,,,,"35,455,200"
218,,E451,SR01,Main Store,1600005491,"COVER CROP,SEEDS,RHIZOBIUM COMPOST",KG,2.638,,,,"461,561"
219,,E451,SR01,Main Store,1600015056,"GEN-ST,MW-TOOLS,APAR POWDER 3 KG",UNI,2,,,,240
220,,E451,SR01,Main Store,4400000370,"MEC,GNRL M,WASHER PLAIN 9260A-20400",PCS,2,,,,18
221,,E451,SR01,Main Store,4400000923,"MEC,FLTR,FUEL FILTER MB 220900",PCS,2,,,,"138,949"
222,,E451,SR01,Main Store,4400002563,"FORD,6640,YOKE ASSY E9NN-4851-AA",PCS,2,,,,"2,200,000"
